NJ Guide to Affordable Housing 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WARREN COUNTY,,,,,,,,,,
o,seq,ltd,source,notes,proj_no,proj_no_2,,development / aka,aka,street,street_2,,municipality,muni_2,county,comu,comu_2,ST,zip,,type,tenure,units,,property,ph_srce,area,phone,agent,agent address,area_2,phone_2,website,,program,date,seq,,
0.1,,,PHA,,NJ912,,,NJ Department of Community Affairs / DCA,DCA,"101 S Broad St, Trenton 08625",PO Box 051,,Trenton,,Mercer,1111,1111,NJ,08625,,,,"22,193 Section 8 vouchers",,,,(609),292-4080,DCA,"101 S Broad St, Trenton 08625",,,NJ Department of Community Affairs,,,1/12/2022,,,
0.2,,,PHA,,NJ902,,,NJ Housing & Mortgage Finance Agency  / HMFA,HMFA,"637 S Clinton Av, Trenton 08650",PO Box 18550,,Trenton,,Mercer,1111,1111,NJ,08650,,,,No Section 8 vouchers,,,,(609),278-7400,HMFA,"637 S Clinton Av, Trenton 08650",,,New Jersey Housing and Mortgage Finance Agency (nj.gov),,,1/12/2022,,,
0.3,10524,,PHA,,NJ102,,,Warren County Housing,,"337 Water St, Belvidere 07823",,,Belvidere Town,,Warren,2100,2100,NJ,07823,,,,666 Section 8 vouchers,,,,(908),475-3989,Warren County Housing Authority,"337 Water St, Belvidere 07823",(908),475-8637,Warren Housing Authority – Find Local New Jersey Housing At OfficialHousingAuthority.com,,Public Housing,1/12/2022,10524,,
1,,,,,,,Allamuchy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,92858,,MtL,,,,,Allamuchy Township housing rehab,,,,,Allamuchy,,Warren,2101,2101,NJ,07838,,,,11,,Allamuchy Township housing rehab,web,(908),852-5132,Allamuchy Township,"292 Alphano Rd, Great Meadows 07833",(908),852-5132,"Allamuchy Township, NJ (allamuchynj.org)",,MtL,9/16/2021,92858,,
3,92859,,MtL,added,,,,Mountain Ridge Garden Apts,,5 Indigo Rd,,,Allamuchy,Hackettestown,Warren,2101,2101,NJ,07840,,family,rent,30,,Mountain Ridge Garden Apts,web,(609),664-2769,"Community Grants, Planning & Housing (CGP&H)","1249 South River Rd, ste 301, Cranbury 08512",,,allamuchy_mountainridge_photo - CGP&H (affordablehomesnewjersey.com),,MtL,9/16/2021,92859,,
4,92860,,MtL,,,,,Old Farm Village,,115 Old Farm Dr,,,Allamuchy,Great Meadows,Warren,2101,2101,NJ,07838,,family,rent,13,,Old Farm Village,web,(609),664-2769,"Community Grants, Planning & Housing (CGP&H)","1249 South River Rd, ste 301, Cranbury 08512",,,Locations - CGP&H (affordablehomesnewjersey.com),,MtL,9/17/2021,92860,,
5,,,,,,,Alpha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,90051,,MtL,,,,,Alpha Borough affordable housing,,,,,Alpha,,Warren,2102,2102,NJ,07620,,family,rent,8,,Alpha Borough affordable housing,whte_pgs,(908),854-2904,Alpha Borough,"1001 East Blvd, Alpha 08865",(908),854-2904,"Alpha, NJ (alphaboronj.org)",,MtL,,90051,,
7,92861,,MtL,,,,,Alpha Borough housing rehab,,,,,Alpha,,Warren,2102,2102,NJ,08865,,,,2,,Alpha Borough housing rehab,web,(908),854-2904,Alpha Borough,"1001 East Blvd, Alpha 08865",(908),854-2904,"Alpha, NJ (alphaboronj.org)",,MtL,9/24/2021,92861,,
8,92862,,MtL,,NJ39T821008,031EH104,,Alpha group homes 1 & 2 / Warren County ARC,Alpha Housing Opportunities Corp,intentional blank,,,Alpha,,Warren,2102,2102,NJ,08865,,special,rent,11,,Alpha group homes 1 & 2 / Warren County ARC,web,(908),689-7525,Warren County ARC,"319 W Washington Av, POB 389, Washington 07882",(908),689-7525,"HOME - The Arc of Warren County, NJ (arcwarren.org)",,Section 202 / MtL,9/24/2021,92862,,
9,92863,,MtL,,,,,Alternatives Homes Inc 2005 group home,,intentional blank,,,Alpha,,Warren,2102,2102,NJ,08865,,special,rent,3,,Alternatives Homes Inc 2005 group home,,(908),685-1444,Alternatives Inc,"600 First Av, ste 3, Raritan 08869",(908),685-1444,Alternatives Inc | New Jersey | Community Support,,MtL,9/24/2021,92863,,
10,,,,,,,Belvidere,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,92864,,MtL,,,,,Belvidere housing rehab,,,,,Belvidere,,Warren,2103,2103,NJ,07823,,,,4,,Belvidere Town,whte_pgs,(908),475-5331,,"691 Water St, Belvidere 07823",(908),685-1444,Belvidere NJ,,MtL,9/24/2021,92864,,
12,92865,,MtL,,NJ39S932001,031EE022,,Belvidere Square Senior Apts / Echo housing demo,"age, 4 bldgs, 52 du",400 Prospect St,,,Belvidere,,Warren,2103,2103,NJ,07823,,age,rent,50,,Belvidere Square Senior Apts,whte_pgs,(908),475-4997,ADTI Housing Corp,"600 1st Av, ste 3, Raritan 08869",(908),685-1444,,,Section 202 / MtL,9/24/2021,92865,,
13,50067,LD,USDA,,,,,Briarwood Ct Apts,,Front & 2nd Sts,,,Belvidere,,Warren,2103,2103,NJ,07823,,age,rent,18,,Briarwood Ct Apts,white pages,(908),903-9311,L & S Rsidential Mgt LLC,"76 S Main St, Yardley, PA 19067",(609),730-8138,,,USDA,2/8/2021,50067,,
14,,,,,,,Blairstown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,92866,,MtL,,,,,Blairstown housing rehab,,,,,Blairstown,,Warren,2104,2104,NJ,07825,,,,48,,Blairstown Township housing rehab,web,(908),362-6663,Blairstown Township,"106 State Rte 94, Blairstown 07825",(908),362-6663,"Township of Blairstown, NJ (blairstowntownship.org)",,MtL,9/24/2021,92866,,
16,92867,,MtL,,,,,Easter Seals group home,Easter Seal Society of NJ,intentional blank,,,Blairstown,,Warren,2104,2104,NJ,07825,,special,rent,5,,Easter Seals group home,web,(732),257-6662,Easter Seals Society of NJ Inc,"25 Kennedy Blvd, ste 600, East Brunswick 08816",,,Easterseals New Jersey | Home,,MtL,9/24/2021,92867,,
17,92868,,MtL,,,,,Phoenix group home,Phoenix Properties NJ Inc / Willowglen,intentional blank,,,Blairstown,,Warren,2104,2104,NJ,07825,,special,rent,6,,Phoenix group home,whte_pgs,(973),579-3700,Willowglen Academy of NJ / Phoenix Properties,"8 Wilson Dr, Sparta 07871",,,,,MtL,9/27/2021,92868,,
18,,,,,,,Franklin Township,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,92869,,MtL,,,,,Franklin Township housing rehab,,,,,Franklin,,Warren,2105,2105,NJ,,,,,11,,Franklin Township housing rehab,web,(908),689-3994,Franklin Township,"2093 Rte 57, POB 547, Broadway 08808",(908),689-3994,Franklin Township (franklintwpwarren.org),,MtL,9/27/2021,92869,,
20,92870,,MtL,,,,,Warren County ARC group home 1 & 2,,intentional blank,,,Franklin,,Warren,2105,2105,NJ,07882,,special,rent,8,,Warren County ARC group home 1 & 2,web,(908),689-7525,Warren County ARC,"319 W Washington Av, POB 289, Washington 07882",,,"HOME - The Arc of Warren County, NJ (arcwarren.org)",,MtL,9/27/2021,92870,,
21,,,,,,,Frelinghuysen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,92871,,MtL,,,,,Center for Humanistic Change of NJ group home,,intentional blank,,,Frelinghuysen,,Warren,2106,2106,NJ,07860,,special,rent,4,,Center for Humanistic Change of NJ group home,whte_pgs,(973),691-3488,Center for Humanistic of NJ Inc,"12 US Hwy 206, Stanhope 07874",,,"Center for Humanistic Change of New Jersey, Inc. | Stanhope, NJ (chcnj.org)",,MtL,9/27/2021,92871,,
23,92872,,MtL,,,,,Frelinghuysen housing rehab,,,,,Frelinghuysen,,Warren,2106,2106,NJ,08825,,,,3,,Frelinghuysen housing rehab,web,(908),852-4121,Frelinghuysen Township,"210 Main St, Johnsonburg 07825",(908),852-4121,"Welcome to the Township of Frelinghuysen, NJ – view township meeting schedules, news, community events and much more (frelinghuysen-nj.us)",,MtL,9/27/2021,92872,,
24,92873,,MtL,,,,,Matheny group homes 1 & 2,,intentional blank,,,Frelinghuysen,,Warren,2106,2106,NJ,07860,,special,rent,12,,Matheny group homes 1 & 2,web,(908),234-0011,Matheny School Inc,"65 Highland Av, Peapack 07977",,,Matheny | A Non-profit Organization for People with Special Needs,,MtL,9/27/2021,92873,,
25,92874,,MtL,,,,,Mentor Network group home,,intentional blank,,,Frelinghuysen,,Warren,2106,2106,NJ,07825,,special,rent,3,,Mentor Network group home,web,(732),627-9890,NJ Mentor,"80 Cottontail Ln, Ste 330, Somerset 08873",,,New Jersey MENTOR: Somerset Office | New Jersey (nj-mentor.com),,MtL,9/27/2021,92874,,
26,,,,,,,Greenwich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,92875,,MtL,,,,,Greenwich Chase,,Revere Rd & Austin Cir,"Greenwich St, Straw Church Rd",,Greenwich,Stewartsville,Warren,2107,2107,NJ,08886,,family,sale,70,,Greenwich Chase,web,(609),664-2769,"Community Grants, Planning & Housing (CGP&H)","1249 South River Rd, ste 301, Cranbury 08512",(908),806-7383,Greenwich Chase,,MtL,9/27/2021,92875,,
28,92876,,MtL,,,,,Greenwich housing rehab,,,,,Greenwich,,Warren,2107,2107,NJ,08886,,,,7,,Greenwich housing rehab,web,(908),859-0909,Greenwich Township,"321 Greenwich St, Stewartsville 08886",,,"Greenwich Township – The official site of Greenwich Township, NJ",,MtL,9/27/2021,92876,,
29,,,,,,,Hacketstown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,92877,,MtL,,,,,Brook Hollow Estates,,Brook Hollow & Saxton Drs,,,Hackettstown,,Warren,2108,2108,NJ,07840,,family,sale,21,,Brook Hollow Estates,web,(908),852-3130,Hackettstown Town,"215 W Stiger St, Hackettstown 07840",(908),852-3130,Hackettstown NJ |,,MtL,9/27/2021,92877,,
31,92878,,MtL,,,,,Center for Humanistic Change of NJ group home,,intentional blank,,,Hackettstown,,Warren,2108,2108,NJ,07840,,special,rent,5,,Center for Humanistic Change of NJ group home,web,(973),691-3488,Center for Humanistic of NJ Inc,"12 US Hwy 206, Stanhope 07874",,,"Center for Humanistic Change of New Jersey, Inc. | Stanhope, NJ (chcnj.org)",,MtL,9/27/2021,92878,,
32,92879,,MtL,,,,,Gordan Hamilton MAB Assoc,,,,,Hackettstown,,Warren,2108,2108,NJ,07840,,,,6,,Gordan Hamilton MAB Assoc,web,(908),852-3130,Hackettstown Town,"215  W Stiger St, Hackettstown 07840",(908),852-3130,Hackettstown NJ |,,MtL,9/27/2021,92879,,
33,30651,LD #211,HUD,,NJ39T821030,031EH125,,Heritage House / Hackettstown Senior Apts,"age, 80 du",681 Willow Grove St,,,Hackettstown,,Warren,2108,2108,NJ,07840,,age,rent,80,,Heritage House / Hackettstown Senior Apts,,(908),852-8089,Silver Tree Residential,"795 Ridge Lake Blvd, ste 300, Memphis, TN 38120 ",(901),748-5490,Hackettstown Senior Apartments (st-residential.com),,Section 202 / MtL,9/27/2021,30651,,
34,92881,,MtL,added,,,,Jane Paftinos LLC,,,,,Hackettstown,,Warren,2108,2108,NJ,07840,,,,21,,Jane Paftinos LLC,web,(908),852-3130,Hackettstown Town,"215  W Stiger St, Hackettstown 07840",(908),852-3130,Hackettstown NJ |,,MtL,9/27/2021,92881,,
35,92882,,MtL,,,,,Van Paftinos 1 & 2,,1-32 Vans Dr,,,Hackettstown,,Warren,2108,2108,NJ,07840,,age,rent,35,,Van Paftinos 1 & 2,,,,Nicholas Capital Advisors,"505 Washington St, Hackettstown 07840",,,,,MtL,9/27/2021,92882,,
36,92883,,MtL,,,,,Warren County ARC group home,,intentional blank,,,Hackettstown,,Warren,2108,2108,NJ,07840,,special,rent,9,,Warren County ARC group home,web,(908),689-7525,Warren County ARC,"319 W Washington Av, POB 289, Washington 07822",(908),689-7525,"HOME - The Arc of Warren County, NJ (arcwarren.org)",,MtL,9/27/2021,92883,,
37,92884,,MtL,,,,,Warren County housing rehab,,,,,Hackettstown,,Warren,2108,2108,NJ,07840,,,,10,,Warren County housing rehab,web,(908),852-3130,Hackettstown Town,"215 W Stiger St, Hackettstown 07840",(908),852-3130,Hackettstown NJ |,,MtL,9/27/2021,92884,,
38,,,,,,,Hardwick,,,,,,,,,,2108,,,,,,,,,,,,,,,,,,,,,,
39,92885,,MtL,,,,,Little Hill / Alina Lodge substance abuse treatment,substance abuse treatment center,intentional blank,,,Hardwick,,Warren,2109,2108,NJ,07825,,special,rent,19,,Little Hill / Alina Lodge substance abuse treatment,web,(908),362-6114,Little Hill Foundation ,,(908),362-6114,Alina Lodge Addiction Treatment Center | Drug Rehab Center New Jersey,,MtL,9/27/2021,92885,,
40,,,,,,,Harmony,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,92886,,MtL,,,,,Habitat for Humanity,,,,,Harmony,,Warren,2110,2110,NJ,08865,,,,3,,Habitat for Humanity,web,(908),213-1600,Harmony Township,"2003 Belvidere Rd, Phillipsburg 08865",(908),213-1600,Harmony Township Municipal Government (harmonytwp-nj.gov),,MtL,9/27/2021,92886,,
42,92887,,MtL,,,,,Harmony Township housing rehab,,,,,Harmony,,Warren,2110,2110,NJ,08865,,,,3,,Harmony Township housing rehab,web,(908),213-1600,Harmony Township,"2003 Belvidere Rd, Phillipsburg 08865",(908),213-1600,Harmony Township Municipal Government (harmonytwp-nj.gov),,MtL,9/27/2021,92887,,
43,92888,,MtL,,,,,Pink House,,,,,Harmony,,Warren,2110,2110,NJ,08865,,,,3,,Pink House,web,(908),213-1600,Harmony Township,"2003 Belvidere Rd, Phillipsburg 08865",(908),213-1600,Harmony Township Municipal Government (harmonytwp-nj.gov),,MtL,9/27/2021,92888,,
44,,,,,,,Indpendence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,92889,,MtL,,,,,Liberty House Apts,,2 Petersburg Rd,,,Independence,Hackettstown,Warren,2112,2112,NJ,07840,,family,rent,40,,Liberty House Apts,web,(908),850-0808,Liberty House Apts LLC,"525 E County Line Rd, Ste 2, Lakewood 08701",,,"Liberty House Apartments – Hackettstown, NJ – SeniorHousingNet.com",,MtL,9/27/2021,92889,,
46,,,,,,,Knowlton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,30652,,HUD,,NJ39Q021001,031HD131,,Columbia supportive living group home,"special, 6 du",intentional blank,,,Knowlton,,Warren,2113,2113,NJ,07832,,special,rent,6,,Columbia supportive living group home,,(973),927-2600,Warren County ARC,"319 W Washington Av, Washington 07882",(908),689-7525,"HOME - The Arc of Warren County, NJ (arcwarren.org)",,Section 202 / MtL,9/27/2021,30652,,
48,92890,,MtL,,,,,County & municipal housing rehab,,,,,Knowlton,,Warren,2113,2113,NJ,07832,,,,3,,County & municipal housing rehab,web,(908),496-4816,Knowlton Township,"628 Rte 94, Columbia 07832",,,Knowlton Township New Jersey (knowlton-nj.com),,MtL,9/27/2021,92890,,
49,92891,,MtL,,,,,Fred Bauer Apts,,116 Hainsburg River Rd,,,Knowlton,,Warren,2113,2113,NJ,07832,,family,rent,4,,Fred Bauer Apts,,,,Bauer Farms LLC,"1A Mountain Terrace, Columbia 07832",,,www.knowlton-nj.com,,MtL,9/27/2021,92891,,
50,92892,,MtL,,,,,Knowlton Township accessory apartment program,,,,,Knowlton,,Warren,2113,2113,NJ,07832,,,rent,1,,Knowlton Township accessory apartment program,web,(908),496-4816,Knowlton Township,"628 Rte 94, Columbia 07832",,,Knowlton Township New Jersey (knowlton-nj.com),,MtL,9/27/2021,92892,,
51,,,,,,,Liberty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,92894,,MtL,,,,,Hulses rest home,,763 Pequest Rd,,,Liberty,Great Meadows,Warren,2114,2114,NJ,07838,,age,rent,12,,Hulses rest home,web,(908),637-4257,,,,,,,MtL,9/27/2021,92894,,
